Point X,Point Y,Planting Site Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree: Height,block_fips
-78.89805391,36.00505754,3090499,2020-05-26T14:28:26.768703+00:00,DanHickey,2748162,True,Betula,nigra,,,River birch,0.5,0-20,370630002002019
-78.87823176,35.98862431,3090932,2020-06-27T16:51:49.098588+00:00,Mbbankson,2748596,True,Acer,buergerianum,,,Trident maple,1.6,0-20,370630010012003
-78.90029222,36.00655796,3090523,2021-03-29T16:13:52.096546+00:00,DanHickey,,False,,,,,,,,370630002003027
-78.89808208,36.00664909,3090527,2019-05-24T15:38:21.220393+00:00,DanHickey,,False,,,,,,,,370630002003021
-78.9020289481,35.9944507829,3301467,2020-03-19T11:09:06.022634+00:00,DanHickey,2944915,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001000
-78.9016695321,35.994252218,3301470,2020-03-19T11:15:02.716820+00:00,DanHickey,2944918,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001000
-78.9023736119,35.994642837,3301473,2020-03-19T11:13:21.716765+00:00,DanHickey,2944912,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001000
-78.91454145,35.99932469,3090946,2021-04-28T16:26:19.896441+00:00,DanHickey,2748610,True,Ginkgo,biloba,,,Ginkgo,0.8,0-20,370630005002006
-78.9004290104,35.9935588646,3301475,2020-03-19T11:12:12.561172+00:00,DanHickey,2944925,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001008
-78.91456157,35.99837424,3091525,2020-05-26T14:28:42.364489+00:00,DanHickey,2749165,True,Acer,truncatum,,,Shantung Maple,0.5,0-20,370630005002006
-78.9007669687,35.9937552611,3301476,2020-03-19T11:11:17.100536+00:00,DanHickey,2944922,True,,,,,,4.0,0-20,370630023001008
-78.9005416632,35.9936228834,3301478,2020-03-19T11:11:54.837580+00:00,DanHickey,2944924,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001008
-78.9006543159,35.9936901573,3301480,2020-03-19T11:11:36.217442+00:00,DanHickey,2944923,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001008
-78.90597763,35.98455051,3235348,2020-03-30T19:32:40.825396+00:00,DanHickey,2874291,True,Lagerstroemia,,,,Common crapemyrtle,2.0,0-20,370630023001023
-78.91857147,35.99799123,3091530,2020-05-26T14:28:41.924532+00:00,DanHickey,2749170,True,Cercis,chinensis,,,Chinese redbud,0.5,0-20,370630005002007
-78.9008702338,35.9938138544,3301483,2020-03-19T11:16:01.442942+00:00,DanHickey,2944921,True,Ulmus,americana,,,American elm,4.0,0-20,370630023001008
-78.9190878,35.99793047,3091531,2020-05-26T14:26:39.926323+00:00,DanHickey,2749171,True,Cercis,chinensis,,,Chinese redbud,0.5,0-20,370630005002007
-78.92332971,36.01049382,3090957,2020-03-30T19:27:30.683287+00:00,DanHickey,2748621,True,Chionanthus,retusus,,,Chinese fringe tree,1.0,0-20,370630004021045
