NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25075_026E,B25075_027E,best_col,best,best_range
Geographic Area Name,Estimate!!Total,"Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more",3,"Estimate!!Total!!Less than $10,000","Less than $10,000"
"Block Group 1, Census Tract 1.01, Durham County, North Carolina",273,0,0,0,0,0,0,0,0,0,0,5,0,10,34,63,71,32,24,16,18,0,0,0,0,0,0,18,71,"$150,000 to $174,999"
"Block Group 2, Census Tract 1.01, Durham County, North Carolina",457,7,4,0,0,0,2,0,12,0,0,21,49,25,128,58,64,40,31,0,16,0,0,0,0,0,0,3,7,"Less than $10,000"
"Block Group 1, Census Tract 1.02, Durham County, North Carolina",277,0,0,0,0,0,0,0,0,0,0,0,8,7,22,54,113,35,21,0,0,0,0,0,17,0,0,14,8,"$80,000 to $89,999"
"Block Group 2, Census Tract 1.02, Durham County, North Carolina",304,0,0,0,0,0,0,0,0,0,0,0,0,16,34,23,59,42,87,15,16,12,0,0,0,0,0,20,87,"$200,000 to $249,999"
"Block Group 1, Census Tract 2, Durham County, North Carolina",136,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,10,0,53,0,30,0,5,0,0,0,0,17,6,"$125,000 to $149,999"
"Block Group 2, Census Tract 2, Durham County, North Carolina",161,0,0,9,0,0,0,0,0,0,0,8,0,0,36,7,23,0,16,27,0,13,22,0,0,0,0,5,9,"$15,000 to $19,999"
"Block Group 3, Census Tract 2, Durham County, North Carolina",252,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,17,57,38,22,43,32,0,0,0,0,3,8,"Less than $10,000"
"Block Group 1, Census Tract 3.01, Durham County, North Carolina",169,0,0,0,0,0,0,0,0,0,0,15,0,9,39,41,13,0,40,12,0,0,0,0,0,0,0,15,9,"$90,000 to $99,999"
"Block Group 2, Census Tract 3.01, Durham County, North Carolina",100,6,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,0,9,8,0,10,41,0,0,0,0,20,9,"$200,000 to $249,999"
"Block Group 3, Census Tract 3.01, Durham County, North Carolina",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,7,22,0,25,7,7,0,0,21,7,"$250,000 to $299,999"
"Block Group 1, Census Tract 3.02, Durham County, North Carolina",316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,54,54,77,31,26,0,0,0,0,22,77,"$300,000 to $399,999"
"Block Group 2, Census Tract 3.02, Durham County, North Carolina",281,0,17,0,0,0,0,0,0,0,0,0,0,0,8,10,10,20,35,0,53,47,59,0,22,0,0,16,8,"$100,000 to $124,999"
"Block Group 3, Census Tract 3.02, Durham County, North Carolina",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,92,19,0,0,0,24,92,"$500,000 to $749,999"
"Block Group 1, Census Tract 4.01, Durham County, North Carolina",304,0,0,20,0,0,0,0,0,0,0,0,10,0,34,24,25,0,52,81,58,0,0,0,0,0,0,21,81,"$250,000 to $299,999"
"Block Group 2, Census Tract 4.01, Durham County, North Carolina",361,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,10,69,23,98,112,23,9,0,0,0,22,98,"$300,000 to $399,999"
"Block Group 3, Census Tract 4.01, Durham County, North Carolina",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,30,14,99,45,38,31,0,0,0,22,99,"$300,000 to $399,999"
"Block Group 1, Census Tract 4.02, Durham County, North Carolina",260,0,0,0,3,0,0,0,0,0,0,0,0,0,17,14,10,26,34,30,75,41,10,0,0,0,0,22,75,"$300,000 to $399,999"
"Block Group 1, Census Tract 5, Durham County, North Carolina",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,20,11,"$200,000 to $249,999"
"Block Group 2, Census Tract 5, Durham County, North Carolina",119,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,23,0,44,9,33,0,0,0,0,23,9,"$400,000 to $499,999"
"Block Group 3, Census Tract 5, Durham County, North Carolina",168,0,0,0,0,0,0,0,0,0,0,0,25,0,16,45,35,0,22,0,25,0,0,0,0,0,0,17,45,"$125,000 to $149,999"
"Block Group 4, Census Tract 5, Durham County, North Carolina",153,0,0,0,0,0,0,0,0,0,17,0,7,9,46,51,0,8,0,15,0,0,0,0,0,0,0,15,9,"$90,000 to $99,999"
"Block Group 1, Census Tract 6, Durham County, North Carolina",459,0,0,0,0,0,0,0,0,0,0,0,23,0,13,0,51,64,61,122,114,11,0,0,0,0,0,19,64,"$175,000 to $199,999"
"Block Group 2, Census Tract 6, Durham County, North Carolina",379,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,25,38,5,36,82,57,68,0,0,0,12,22,82,"$300,000 to $399,999"
"Block Group 3, Census Tract 6, Durham County, North Carolina",183,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,68,42,38,14,0,0,0,22,68,"$300,000 to $399,999"
"Block Group 1, Census Tract 7, Durham County, North Carolina",122,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,24,11,14,17,27,0,10,0,0,17,9,"$125,000 to $149,999"
"Block Group 2, Census Tract 7, Durham County, North Carolina",405,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17,0,22,60,63,58,90,40,38,0,0,0,23,90,"$400,000 to $499,999"
"Block Group 3, Census Tract 7, Durham County, North Carolina",360,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,13,0,113,84,63,6,44,17,0,0,0,16,9,"$100,000 to $124,999"
"Block Group 1, Census Tract 9, Durham County, North Carolina",97,5,0,0,0,0,0,0,7,20,0,6,0,0,37,5,0,0,4,13,0,0,0,0,0,0,0,10,7,"$40,000 to $49,999"
"Block Group 2, Census Tract 9, Durham County, North Carolina",67,0,6,0,0,0,0,0,22,0,0,0,9,0,6,0,0,12,0,5,0,0,7,0,0,0,0,14,9,"$80,000 to $89,999"
"Block Group 1, Census Tract 10.01, Durham County, North Carolina",107,7,0,11,0,0,0,0,0,0,10,8,12,0,40,9,10,0,0,0,0,0,0,0,0,0,0,17,9,"$125,000 to $149,999"
"Block Group 2, Census Tract 10.01, Durham County, North Carolina",81,0,0,0,0,0,0,0,0,0,6,22,3,0,34,0,0,0,0,9,7,0,0,0,0,0,0,21,9,"$250,000 to $299,999"
"Block Group 3, Census Tract 10.01, Durham County, North Carolina",160,0,0,8,7,0,0,0,0,38,42,0,0,0,51,14,0,0,0,0,0,0,0,0,0,0,0,5,8,"$15,000 to $19,999"
"Block Group 1, Census Tract 10.02, Durham County, North Carolina",130,0,6,0,0,0,0,0,0,40,49,0,0,7,0,11,17,0,0,0,0,0,0,0,0,0,0,15,7,"$90,000 to $99,999"
"Block Group 2, Census Tract 10.02, Durham County, North Carolina",168,0,0,0,0,0,0,0,0,0,13,0,135,0,0,20,0,0,0,0,0,0,0,0,0,0,0,17,20,"$125,000 to $149,999"
"Block Group 3, Census Tract 10.02, Durham County, North Carolina",41,16,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,16,25,"$100,000 to $124,999"
"Block Group 4, Census Tract 10.02, Durham County, North Carolina",102,0,0,0,0,0,0,0,0,0,0,45,10,21,0,0,0,0,26,0,0,0,0,0,0,0,0,13,45,"$70,000 to $79,999"
"Block Group 1, Census Tract 11, Durham County, North Carolina",102,0,0,0,0,0,0,0,0,0,14,0,0,0,0,47,16,9,0,16,0,0,0,0,0,0,0,19,9,"$175,000 to $199,999"
"Block Group 2, Census Tract 11, Durham County, North Carolina",55,0,0,0,0,0,0,0,0,13,23,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,9,"$70,000 to $79,999"
"Block Group 1, Census Tract 13.01, Durham County, North Carolina",152,0,0,0,6,0,0,12,0,6,27,27,5,0,52,13,0,4,0,0,0,0,0,0,0,0,0,6,6,"$20,000 to $24,999"
"Block Group 1, Census Tract 13.03, Durham County, North Carolina",141,0,0,0,0,0,0,0,0,8,9,17,13,14,15,22,19,20,4,0,0,0,0,0,0,0,0,12,9,"$60,000 to $69,999"
"Block Group 2, Census Tract 13.03, Durham County, North Carolina",114,0,0,0,0,0,0,0,0,0,37,22,4,4,15,16,10,0,0,0,0,6,0,0,0,0,0,23,6,"$400,000 to $499,999"
"Block Group 1, Census Tract 13.04, Durham County, North Carolina",248,0,0,0,17,0,0,0,0,17,26,21,32,12,19,48,31,17,8,0,0,0,0,0,0,0,0,20,8,"$200,000 to $249,999"
"Block Group 1, Census Tract 14, Durham County, North Carolina",70,0,0,0,0,0,0,0,0,24,8,14,0,6,0,11,7,0,0,0,0,0,0,0,0,0,0,12,8,"$60,000 to $69,999"
"Block Group 2, Census Tract 14, Durham County, North Carolina",85,0,0,0,0,0,0,0,0,33,7,28,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,7,"$60,000 to $69,999"
"Block Group 1, Census Tract 15.01, Durham County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"Less than $10,000"
"Block Group 1, Census Tract 15.02, Durham County, North Carolina",10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,"Less than $10,000"
"Block Group 2, Census Tract 15.02, Durham County, North Carolina",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,20,17,"$200,000 to $249,999"
"Block Group 3, Census Tract 15.02, Durham County, North Carolina",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,6,"$200,000 to $249,999"
"Block Group 4, Census Tract 15.02, Durham County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"Less than $10,000"
"Block Group 1, Census Tract 15.03, Durham County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"Less than $10,000"
"Block Group 1, Census Tract 16.01, Durham County, North Carolina",416,0,0,14,0,0,0,0,0,0,0,14,0,0,0,55,57,28,98,0,92,45,13,0,0,0,0,20,98,"$200,000 to $249,999"
"Block Group 2, Census Tract 16.01, Durham County, North Carolina",1176,0,0,0,0,0,0,0,0,0,40,14,0,0,14,110,370,174,245,176,33,0,0,0,0,0,0,12,40,"$60,000 to $69,999"
"Block Group 3, Census Tract 16.01, Durham County, North Carolina",527,14,0,14,0,0,0,0,0,0,0,0,0,0,0,122,177,97,75,0,28,0,0,0,0,0,0,19,97,"$175,000 to $199,999"
"Block Group 1, Census Tract 16.03, Durham County, North Carolina",216,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,64,30,30,25,0,0,0,0,0,0,0,18,64,"$150,000 to $174,999"
"Block Group 2, Census Tract 16.03, Durham County, North Carolina",1149,0,0,17,0,0,0,0,0,0,0,0,0,0,21,209,102,327,199,253,21,0,0,0,0,0,0,19,327,"$175,000 to $199,999"
"Block Group 3, Census Tract 16.03, Durham County, North Carolina",419,0,0,0,0,0,0,0,0,15,0,0,0,0,42,67,204,34,57,0,0,0,0,0,0,0,0,17,67,"$125,000 to $149,999"
"Block Group 4, Census Tract 16.03, Durham County, North Carolina",701,0,0,0,0,0,0,0,0,0,0,0,14,0,36,0,36,73,101,108,274,46,13,0,0,0,0,19,73,"$175,000 to $199,999"
