Point X,Point Y,Street Address,City,Postal Code,Planting Site Width,Planting Site Length,Planting Site Id,Custom Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree Height,Canopy Height,Date Planted,Date Removed,Tree: Board Feet,Tree: Merchantable Height (16 ft lenghts),Tree: Project,Tree: Stewardship,Tree: Tag Number,Tree: Tree Condition 2018,Tree: TreeVitalize Tree,Tree: Watershed,Planting Site: Cell Number,Planting Site: Census Block,Planting Site: Census Block Manual,Planting Site: Date Tree Removed,Planting Site: ID,Planting Site: Notes,Planting Site: Park Name,Planting Site: Site Type,Planting Site: Stewardship,Planting Site: Utility Conflict
-76.8362055095,40.2924107566,3614 Cloverfield Rd,Harrisburg,17109,NA,NA,3303314,NA,2019-10-17T18:27:02Z,SusquehannaTwp,2937892,TRUE,Acer,freemanii,NA,NA,Freeman Maple,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8909662962,40.2689293267,1304 Penn St,Harrisburg,17102,NA,NA,3331969,NA,2020-12-08T01:37:46Z,rareese,2966322,TRUE,Prunus,yedoensis,NA,NA,Yoshino flowering cherry,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8910293281,40.2691391005,1311 St Penn,Harrisburg,17102,NA,NA,3331970,NA,2020-12-08T01:38:34Z,rareese,2966323,TRUE,Quercus,robur,NA,NA,English oak,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8943324685,40.2777003841,1937 N 3rd St,Harrisburg,17102,NA,NA,3331974,NA,2020-12-08T01:49:33Z,rareese,2966326,TRUE,Gymnocladus,dioicus,NA,NA,Kentucky coffeetree,2,14,NA,2020-11-14,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.834602356,40.2835802028,3515 Schoolhouse Ln,Harrisburg,17109,NA,NA,3304066,NA,2019-10-30T17:56:07Z,SusquehannaTwp,2938430,TRUE,Liriodendron,tulipifera,NA,NA,Tulip tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8682828546,40.3257030857,4131 Beaufort Hunt Dr,Harrisburg,17110,NA,NA,3304077,NA,2019-10-30T18:42:30Z,SusquehannaTwp,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8656717241,40.3310276843,2101 Laurel Glen Dr,Harrisburg,17110,NA,NA,3304078,NA,2019-10-30T18:18:57Z,SusquehannaTwp,2938442,TRUE,Acer,freemanii,NA,NA,Freeman Maple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8662148714,40.3124275886,1708 Pebble Ct,Harrisburg,17110,NA,NA,3304083,NA,2019-10-30T18:38:48Z,SusquehannaTwp,2938447,TRUE,Ginkgo,biloba,Autumn Gold,NA,Ginkgo 'Autumn Gold',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8939757347,40.2840988956,520 St Curtin,Harrisburg,17110,NA,NA,3334946,NA,2021-01-08T19:04:02Z,Earoane,2969439,TRUE,Prunus,sargentii,NA,NA,Sargent cherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76.8927231431,40.2848068484,2340 N 6th St,Harrisburg,17110,NA,NA,3334947,NA,2021-01-08T19:08:10Z,Earoane,2969440,TRUE,Prunus,sargentii,NA,NA,Sargent cherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
