"GEO_ID","id"
"NAME","Geographic Area Name"
"B25075_001E","Estimate!!Total"
"B25075_001M","Margin of Error!!Total"
"B25075_002E","Estimate!!Total!!Less than $10,000"
"B25075_002M","Margin of Error!!Total!!Less than $10,000"
"B25075_003E","Estimate!!Total!!$10,000 to $14,999"
"B25075_003M","Margin of Error!!Total!!$10,000 to $14,999"
"B25075_004E","Estimate!!Total!!$15,000 to $19,999"
"B25075_004M","Margin of Error!!Total!!$15,000 to $19,999"
"B25075_005E","Estimate!!Total!!$20,000 to $24,999"
"B25075_005M","Margin of Error!!Total!!$20,000 to $24,999"
"B25075_006E","Estimate!!Total!!$25,000 to $29,999"
"B25075_006M","Margin of Error!!Total!!$25,000 to $29,999"
"B25075_007E","Estimate!!Total!!$30,000 to $34,999"
"B25075_007M","Margin of Error!!Total!!$30,000 to $34,999"
"B25075_008E","Estimate!!Total!!$35,000 to $39,999"
"B25075_008M","Margin of Error!!Total!!$35,000 to $39,999"
"B25075_009E","Estimate!!Total!!$40,000 to $49,999"
"B25075_009M","Margin of Error!!Total!!$40,000 to $49,999"
"B25075_010E","Estimate!!Total!!$50,000 to $59,999"
"B25075_010M","Margin of Error!!Total!!$50,000 to $59,999"
"B25075_011E","Estimate!!Total!!$60,000 to $69,999"
"B25075_011M","Margin of Error!!Total!!$60,000 to $69,999"
"B25075_012E","Estimate!!Total!!$70,000 to $79,999"
"B25075_012M","Margin of Error!!Total!!$70,000 to $79,999"
"B25075_013E","Estimate!!Total!!$80,000 to $89,999"
"B25075_013M","Margin of Error!!Total!!$80,000 to $89,999"
"B25075_014E","Estimate!!Total!!$90,000 to $99,999"
"B25075_014M","Margin of Error!!Total!!$90,000 to $99,999"
"B25075_015E","Estimate!!Total!!$100,000 to $124,999"
"B25075_015M","Margin of Error!!Total!!$100,000 to $124,999"
"B25075_016E","Estimate!!Total!!$125,000 to $149,999"
"B25075_016M","Margin of Error!!Total!!$125,000 to $149,999"
"B25075_017E","Estimate!!Total!!$150,000 to $174,999"
"B25075_017M","Margin of Error!!Total!!$150,000 to $174,999"
"B25075_018E","Estimate!!Total!!$175,000 to $199,999"
"B25075_018M","Margin of Error!!Total!!$175,000 to $199,999"
"B25075_019E","Estimate!!Total!!$200,000 to $249,999"
"B25075_019M","Margin of Error!!Total!!$200,000 to $249,999"
"B25075_020E","Estimate!!Total!!$250,000 to $299,999"
"B25075_020M","Margin of Error!!Total!!$250,000 to $299,999"
"B25075_021E","Estimate!!Total!!$300,000 to $399,999"
"B25075_021M","Margin of Error!!Total!!$300,000 to $399,999"
"B25075_022E","Estimate!!Total!!$400,000 to $499,999"
"B25075_022M","Margin of Error!!Total!!$400,000 to $499,999"
"B25075_023E","Estimate!!Total!!$500,000 to $749,999"
"B25075_023M","Margin of Error!!Total!!$500,000 to $749,999"
"B25075_024E","Estimate!!Total!!$750,000 to $999,999"
"B25075_024M","Margin of Error!!Total!!$750,000 to $999,999"
"B25075_025E","Estimate!!Total!!$1,000,000 to $1,499,999"
"B25075_025M","Margin of Error!!Total!!$1,000,000 to $1,499,999"
"B25075_026E","Estimate!!Total!!$1,500,000 to $1,999,999"
"B25075_026M","Margin of Error!!Total!!$1,500,000 to $1,999,999"
"B25075_027E","Estimate!!Total!!$2,000,000 or more"
"B25075_027M","Margin of Error!!Total!!$2,000,000 or more"
