"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more","id","Geographic Area Name"
"277","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","16","0","12","15","17","9","15","17","20","36","33","136","59","33","28","0","12","10","16","0","12","7","10","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630001011","Block Group 1, Census Tract 1.01, Durham County, North Carolina"
"315","73","9","14","0","12","0","12","0","12","0","12","0","12","0","12","20","18","0","12","0","12","22","33","74","57","36","30","44","28","42","30","13","15","13","15","19","23","0","12","16","24","7","12","0","12","0","12","0","12","0","12","0","12","1500000US370630001012","Block Group 2, Census Tract 1.01, Durham County, North Carolina"
"377","69","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","11","0","12","0","12","5","9","63","46","108","45","105","69","67","43","7","10","0","12","0","12","0","12","0","12","0","12","9","14","0","12","0","12","1500000US370630001021","Block Group 1, Census Tract 1.02, Durham County, North Carolina"
"372","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","9","0","12","8","13","31","28","74","46","68","38","108","56","38","28","33","23","0","12","0","12","6","10","0","12","0","12","0","12","0","12","0","12","1500000US370630001022","Block Group 2, Census Tract 1.02, Durham County, North Carolina"
"144","69","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","12","20","51","47","0","12","22","30","0","12","11","18","16","26","13","17","0","12","0","12","9","15","0","12","0","12","0","12","1500000US370630002001","Block Group 1, Census Tract 2, Durham County, North Carolina"
"163","72","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","9","0","12","0","12","57","47","9","16","37","49","0","12","17","21","23","25","4","8","12","20","0","12","0","12","0","12","0","12","0","12","1500000US370630002002","Block Group 2, Census Tract 2, Durham County, North Carolina"
"261","68","7","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","53","15","17","34","32","61","41","73","49","15","27","12","19","7","11","0","12","0","12","0","12","0","12","1500000US370630002003","Block Group 3, Census Tract 2, Durham County, North Carolina"
"104","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","27","0","12","56","42","0","12","13","14","4","10","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630003011","Block Group 1, Census Tract 3.01, Durham County, North Carolina"
"106","47","7","12","0","12","0","12","0","12","0","12","0","12","7","11","0","12","0","12","0","12","7","10","0","12","0","12","15","15","9","14","40","40","0","12","0","12","0","12","0","12","7","11","14","14","0","12","0","12","0","12","0","12","1500000US370630003012","Block Group 2, Census Tract 3.01, Durham County, North Carolina"
"117","35","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","28","0","12","0","12","0","12","0","12","0","12","7","12","7","12","0","12","13","14","8","15","25","24","22","18","17","25","0","12","0","12","0","12","0","12","1500000US370630003013","Block Group 3, Census Tract 3.01, Durham County, North Carolina"
"333","74","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","7","11","0","12","50","49","72","56","62","43","48","30","55","29","19","22","11","16","0","12","0","12","0","12","0","12","1500000US370630003021","Block Group 1, Census Tract 3.02, Durham County, North Carolina"
"205","50","0","12","9","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","19","9","14","18","20","23","21","32","23","9","15","30","28","28","20","33","28","0","12","0","12","0","12","0","12","1500000US370630003022","Block Group 2, Census Tract 3.02, Durham County, North Carolina"
"155","57","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","14","16","11","17","21","35","36","27","28","21","28","21","0","12","0","12","0","12","1500000US370630003023","Block Group 3, Census Tract 3.02, Durham County, North Carolina"
"349","59","0","12","0","12","10","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","22","9","16","0","12","26","24","29","22","49","31","12","18","46","34","104","46","50","35","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630004011","Block Group 1, Census Tract 4.01, Durham County, North Carolina"
"375","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","20","23","0","12","28","24","9","15","104","60","42","31","98","45","52","36","11","16","0","12","0","12","0","12","0","12","1500000US370630004012","Block Group 2, Census Tract 4.01, Durham County, North Carolina"
"274","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","11","0","12","30","29","7","12","50","31","57","38","76","40","38","32","0","12","9","15","0","12","0","12","0","12","1500000US370630004013","Block Group 3, Census Tract 4.01, Durham County, North Carolina"
"298","59","0","12","0","12","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","21","9","14","23","21","46","36","67","43","49","42","63","42","11","17","0","12","0","12","0","12","0","12","0","12","1500000US370630004021","Block Group 1, Census Tract 4.02, Durham County, North Carolina"
"17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005001","Block Group 1, Census Tract 5, Durham County, North Carolina"
"102","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","27","25","0","12","32","23","7","11","5","8","16","27","6","9","0","12","0","12","0","12","0","12","1500000US370630005002","Block Group 2, Census Tract 5, Durham County, North Carolina"
"89","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","21","23","10","15","15","23","20","16","5","10","0","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005003","Block Group 3, Census Tract 5, Durham County, North Carolina"
"84","46","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","19","0","12","37","33","17","18","0","12","9","14","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630005004","Block Group 4, Census Tract 5, Durham County, North Carolina"
"354","119","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","26","14","24","33","39","0","12","103","71","24","34","38","44","40","44","16","25","31","44","12","20","12","20","0","12","0","12","0","12","1500000US370630006001","Block Group 1, Census Tract 6, Durham County, North Carolina"
"338","71","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","14","23","0","12","34","38","13","20","73","51","37","42","94","54","41","30","32","41","0","12","0","12","0","12","0","12","1500000US370630006002","Block Group 2, Census Tract 6, Durham County, North Carolina"
"203","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","118","80","45","32","29","34","0","12","0","12","0","12","0","12","1500000US370630006003","Block Group 3, Census Tract 6, Durham County, North Carolina"
"115","47","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","0","12","8","13","29","26","12","20","12","17","9","14","8","14","8","13","9","14","10","17","0","12","1500000US370630007001","Block Group 1, Census Tract 7, Durham County, North Carolina"
"299","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","13","0","12","0","12","0","12","0","12","0","12","0","12","8","12","0","12","38","29","53","35","25","25","68","42","16","19","60","36","24","26","0","12","0","12","0","12","1500000US370630007002","Block Group 2, Census Tract 7, Durham County, North Carolina"
"315","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","7","12","0","12","10","15","0","12","0","12","21","23","25","24","88","55","39","31","40","27","43","31","31","24","0","12","0","12","0","12","0","12","1500000US370630007003","Block Group 3, Census Tract 7, Durham County, North Carolina"
"55","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","10","0","12","0","12","12","17","21","22","8","11","3","6","0","12","0","12","3","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370630009001","Block Group 1, Census Tract 9, Durham County, North Carolina"
"158","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","21","23","23","45","27","0","12","37","30","0","12","21","21","0","12","0","12","9","10","0","12","0","12","0","12","0","12","0","12","0","12","7","11","0","12","0","12","1500000US370630009002","Block Group 2, Census Tract 9, Durham County, North Carolina"
